# MALDA built-in lookup table - generated by scripts/sync-llm-builtins-tsv.ps1
# Applies to: MALDA 0.1.20
# Columns: name<TAB>preferred call<TAB>arguments (engine wording)<TAB>notes<TAB>returns
# name, call and arguments are derived from the engine. Notes and returns are hand-written.
# An empty arguments cell means the built-in is variadic and accepts any argument count:
# all(...tasks), and the ui* component builders, which take (props?, ...children).
createSecureCookie	createSecureCookie	(string, string, string, object?)		
createSubmitPlanTool	createSubmitPlanTool	0 arguments		
createWebSearchTool	createWebSearchTool	0 arguments		
createWriteFileTool	createWriteFileTool	0-1 arguments: (workingDir?)		
crossEntropyFromLogits	math.crossEntropyFromLogits	2 arguments: (logits, targetIndex)		
csrfField	csrfField	secret and optional ttlSeconds		
decomposeTask	decomposeTask	at least 1 argument: (instruction, client?)		
degToRad	math.degToRad	1 argument		
deleteFile	io.deleteFile	1 argument		
dotnetNew	dotnetNew	at least 1 argument: (typeOrTypeName, ...ctorArgs)		
editFile	editFile	(string, array)		
embedBagOfWords	embedBagOfWords	at least 1 argument (text, dimension?, vocabulary?)		
embedCharacterNGrams	embedCharacterNGrams	at least 1 argument (text, n?, dimension?)		
embeddedFolderRoot	io.embeddedFolderRoot	1 argument: (alias)		
embedFromFile	embedFromFile	at least 2 arguments (filePath, method, ...)		
embedFromFiles	embedFromFiles	at least 2 arguments (filePaths, method, ...)		
embedHash	embedHash	at least 1 argument (text, dimension?)		
embedTFIDF	embedTFIDF	at least 1 argument (text, corpus?, dimension?)		
enableAgentVerboseLogging	enableAgentVerboseLogging	0 or 1 arguments		
endsWith	str.endsWith	2 arguments: (str, suffix)		
enqueueJob	enqueueJob	2-3 arguments: (queue, payload, options?)		
ensureDir	io.ensureDir	1 argument		
error	error	1 argument: (message)		
executePlan	executePlan	at least 2 arguments: (plan, agent)		
exit	exit	0-1 arguments: (code?)	terminates the process immediately; the code must be an integer	
exp	math.exp	1 argument		
extractDocxText	extractDocxText	1 argument: (path)		
extractHTML	extractHTML	1 string argument		
extractNumbers	str.extractNumbers	1 argument		
extractPdfText	extractPdfText	1-2 arguments: (path, password?)		
failJob	failJob	1-3 arguments: (jobId, error?, retry?)		
float	float	1 argument		
floor	math.floor	1 argument	returns a float even when whole-valued (print shows 1, not 1.0); integer sinks coerce whole floats, so str.repeat("-", math.floor(n)) works; fractional floats still fail	
formatDate	formatDate	1-2 arguments: (timestamp, format?)		
formatNumber	formatNumber	2 arguments (number, decimalPlaces)		
formatRetrievedDocs	formatRetrievedDocs	a document array		
formErrors	formErrors	1 argument (array of strings or {field,message} objects)		
generateCsrfToken	generateCsrfToken	secret and optional ttlSeconds		
generateUI	generateUI	at least 1 string argument		
getAssistantMemory	getAssistantMemory	0-1 arguments: (path?)		
getCommandLineArgs	getCommandLineArgs	0 arguments		
getDirectoryName	io.getDirectoryName	1 argument		
getDotNetType	getDotNetType	either (string fullTypeName) or (assembly, string typeName)		
getEnv	io.getEnv	1 argument	unlike io.input (which returns empty string at EOF), missing variables yield null — prefer io.getEnvOr or str.trimText before string sinks	string, or null when the variable is not set
getEnvOr	io.getEnvOr	1-2 arguments: (name, default?)	never null; missing variables yield default (empty string when omitted) — preferred before str.trim	string (never null)
getFileName	io.getFileName	1 argument		
getHostPlatform	getHostPlatform	0 arguments		
getJob	getJob	1 argument: (jobId)		
getMaldaConfig	getMaldaConfig	0 arguments		
getMaldaHome	getMaldaHome	0 arguments		
getParseErrors	getParseErrors	1 argument: sourceOrFilePath (string)		
getProgramDirectory	getProgramDirectory	0 arguments		
getSkillNames	getSkillNames	0 arguments		
getSymbols	getSymbols	1 argument: sourceOrFilePath (string)		
getWorkflow	getWorkflow	at least 1 argument: (instanceId)		
getWorkflowEvents	getWorkflowEvents	at least 1 argument: (instanceId, limit?)		
getWorkflowMetrics	getWorkflowMetrics	0 arguments		
getWorkflowStatus	getWorkflowStatus	at least 1 argument: (instanceId)		
getWorkflowSteps	getWorkflowSteps	at least 1 argument: (instanceId)		
gitAdd	io.gitAdd	2 arguments: (repoPath, files)		
gitBranch	io.gitBranch	at least 2 arguments: (repoPath, action, ...)		
gitCheckout	io.gitCheckout	at least 2 arguments: (repoPath, branchName, ...)		
gitCommit	io.gitCommit	2 arguments: (repoPath, message)		
gitDiff	io.gitDiff	0-3 arguments: (repoPath?, filePath?, staged?)		
gitLog	io.gitLog	0-2 arguments: (repoPath?, count?)		
gitPull	io.gitPull	0-3 arguments: (repoPath?, remote?, branch?)		
gitPush	io.gitPush	0-3 arguments: (repoPath?, remote?, branch?)		
gitStatus	io.gitStatus	0-1 arguments: (repoPath?)		
glob	io.glob	at least 1 argument: (pattern, dirPath?, ...)		
grep	io.grep	at least 2 arguments: (pattern, filePath, ...)		
hasDirectory	io.hasDirectory	1 argument		
hasEmbeddedFolder	io.hasEmbeddedFolder	1 argument: (alias)		
hasEnv	io.hasEnv	1 argument		
hasFile	io.hasFile	1 argument		
hashPassword	hashPassword	1 or 2 arguments: (password, iterations?)		
httpAuthToken	httpAuthToken	request and optional options object		
httpBearerToken	httpBearerToken	1 argument: (request)		
httpCookieToken	httpCookieToken	request, cookieName, optional cookieSecret		
httpDelete	httpDelete	at least 1 string argument: (url, headers?, queryParams?)		
httpGet	httpGet	at least 1 string argument: (url, headers?, queryParams?)		
httpPatch	httpPatch	at least 1 string argument: (url, body?, headers?, queryParams?)		
httpPost	httpPost	at least 1 string argument: (url, body?, headers?, queryParams?)		
httpPut	httpPut	at least 1 string argument: (url, body?, headers?, queryParams?)		
hypot	math.hypot	2 arguments		
includes	str.includes	2 arguments: (array, value)		
indexInto	indexInto	(vectorDb, documents)		
indexOf	str.indexOf	(string, string)		
input	io.input	0-1 arguments: (prompt?)	reads one line from stdin; pipe a scripted transcript to test without a human	
insertAtLine	insertAtLine	at least 3 arguments: (filePath, lineNumber, content, ...)		
int	int	1 argument	throws when the value will not parse; use toIntOr or toIntOrNull to supply a fallback	
isArray	isArray	1 argument		
isNumber	isNumber	1 argument		
isObject	isObject	1 argument		
isPathUnder	io.isPathUnder	2 arguments: (root, path)		
isString	isString	1 argument		
isTag	isTag	2 arguments: (value, tag)		
join	str.join	1-2 arguments: (array, separator?)		
length	str.length	1 argument	accepts a string or an array	
listDirectory	io.listDirectory	1 argument		
listJobs	listJobs	0-3 arguments: (queue?, status?, limit?)		
listWorkflowDeadLetters	listWorkflowDeadLetters	0-2 arguments: (limit?, includeRequeued?)		
listWorkflows	listWorkflows	0-3 arguments: (status?, name?, limit?)		
loadAssembly	loadAssembly	1 string argument (path or assembly name)		
loadDocuments	loadDocuments	(pattern, dirPath?)		
loadNativeModule	loadNativeModule	exactly 1 string argument		
loadSkill	loadSkill	1 argument: (name)		
loadSkillsFromDir	loadSkillsFromDir	0-1 arguments: (skillsPath?)		
log	math.log	1 argument		
log10	math.log10	1 argument		
log2	math.log2	1 argument		
logSumExp	math.logSumExp	1 argument: (array)		
lower	str.lower	1 argument		
markdownToHtml	markdownToHtml	1 argument: (markdown)	Markdig HTML fragment; advanced MD (tables etc.); raw HTML in input disabled	string HTML fragment
markup	AnsiConsole.markup	1 string argument	NO trailing newline - consecutive calls run together on one line; use markupLine for a whole line	
markupLine	AnsiConsole.markupLine	1 string argument	appends a newline; parses [bold] [green] [/] tags; double a literal bracket as [[ or ]]	
max	math.max	2 arguments or 1 array		
md5	str.md5	1 argument		
mergeRetrievedDocs	mergeRetrievedDocs	one or more document arrays		
min	math.min	2 arguments or 1 array		
normalizeText	str.normalizeText	(string, options?)		
now	now	0 arguments		
onAgentProgress	onAgentProgress	1 argument: (handlerOrChannel)		
padEnd	str.padEnd	2-3 arguments: (str, length, padChar?)		
padStart	str.padStart	2-3 arguments: (str, length, padChar?)		
pageLayout	pageLayout	title, bodyHtml, and optional options object		
panel	AnsiConsole.panel	at least 1 string argument: (content, title?, borderStyle?)	borderStyle: rounded|double|heavy (anything else -> square, no error); body AND title parse markup; unparseable markup renders literally; piped/non-TTY output collapses Unicode borders to square	
parallelRun	parallelRun	(input, branches)		
parseDate	parseDate	1 argument: (dateString)		
parseJson	parseJson	2 arguments (value, schemaRef) and optional options object	schema-validating parser for LLM output, NOT a plain JSON reader	
parseJSON	parseJSON	1 argument	plain JSON text to a value; note that parseJson with a lowercase s is a different built-in	
pathExists	io.pathExists	1 argument		
pathGetExtension	io.pathGetExtension	1 argument		
pathJoin	io.pathJoin	at least 1 argument		
pathNormalize	io.pathNormalize	1 argument		
pop	<array>.pop	0 arguments	method on the array: items.pop(); not a free function; <array> marks a receiver method, not a namespace	
pow	math.pow	2 arguments		
print	io.print	1 argument	appends a newline; there is no println	
progress	AnsiConsole.progress	at least 1 argument	preferred: callback (ctx) => { ctx.addTask(name, max); ctx.increment(name, n); ctx.isFinished() }; legacy object { tasks, action? }	null
prompt	AnsiConsole.prompt	at least 1 object argument: (type, message, defaultValue?)	config object: type text|confirm|selection (aliases input/yesno/choice), message, defaultValue?; selection needs choices: string[]; interactive (needs a TTY)	string for text/selection; bool for confirm
radToDeg	math.radToDeg	1 argument		
randn	math.randn	0-2 arguments: (std?, mean?)		
random	math.random	0 arguments	float in [0.0, 1.0)	
randomChoiceWeighted	math.randomChoiceWeighted	1 argument: (weights)		
randomFloat	math.randomFloat	2 arguments: (min, max)	min included, max excluded	
randomInt	math.randomInt	2 arguments: (min, max)	min and max are BOTH included, unlike half-open ranges elsewhere; math.seed(n) pins the sequence	
range	range	1-3 arguments: (end) or (start, end) or (start, end, step)		
readFile	io.readFile	(string, int?, int?)		
readFileBase64	io.readFileBase64	1 argument		
readSecureCookie	readSecureCookie	(string, string)		
readTextFileLines	io.readTextFileLines	1 argument		
redirect	redirect	location string and optional status integer		
RedirectTo	RedirectTo	1 string argument: (location)		
regexFind	str.regexFind	(string, string)		
regexMatch	str.regexMatch	(string, string)		
regexReplace	str.regexReplace	(string, string, string)		
renderTemplate	renderTemplate	template string and optional object model		
repeat	str.repeat	2 arguments: (str, count)	count must be an integer or a whole-valued float; fractional floats are rejected	
replace	str.replace	(string, string, string)		
replaceInFile	io.replaceInFile	(string, string, string, int?)		
reply	reply	exactly 1 argument		
reportRalphStatus	reportRalphStatus	at least 5 arguments (agentName, phase, iteration, maxIter, prdPercent)		
requeueDeadLetter	requeueDeadLetter	at least 1 argument: (id, reason?, requestedBy?, requeueCorrelationId?)		
resumeWorkflow	resumeWorkflow	at least 1 argument: (instanceId)		
retryWorkflow	retryWorkflow	at least 1 argument: (instanceId)		
reverse	reverse	1 argument		
round	math.round	1 argument	returns a float even when whole-valued; integer sinks coerce whole floats; wrap with int() if you need an Integer-tagged value	
rsqrt	math.rsqrt	1 argument		
runCommand	runCommand	at least 1 argument: command (string)		
runMALDA	runMALDA	at least 1 argument: sourceOrFilePath (string)		
runProgram	runProgram	1 argument: (program)		
runPrompt	runPrompt	at least 1 argument (promptInstance or text)		
runProperty	runProperty	1-3 arguments: (name, iterations?, seed?)		
runWorkflowInstance	runWorkflowInstance	at least 1 argument: (instanceId)		
seed	math.seed	1 argument	resets the one generator shared by random, randomInt, randomFloat and randn	
setAgentStatusBanner	setAgentStatusBanner	1 string argument (status banner line)		
setAgentVerbosePhase	setAgentVerbosePhase	1 string argument (phase label)		
setDefaultAgent	setDefaultAgent	an Agent instance		
sha256	str.sha256	1 argument		
shift	<array>.shift	0 arguments	method on the array: items.shift(); not a free function; <array> marks a receiver method, not a namespace	
sign	math.sign	1 argument		
signalWorkflow	signalWorkflow	at least 2 arguments: (instanceId, signalName, payload?)		
similarity	str.similarity	(string, string, method?, options?)		
sin	math.sin	1 argument		
sleep	sleep	1 argument: (milliseconds)	real-time delay; prefer it over busy-wait loops	
softmax	math.softmax	1-2 arguments: (array, temperature?)		
sort	sort	1-2 arguments: (array, compareFn?)		
split	str.split	(string, string?, bool?)		
splitDocuments	splitDocuments	(documents, chunkSize?, overlap?)		
sqrt	math.sqrt	1 argument	returns a float even when whole-valued (sqrt(4) is 2.0); integer sinks coerce whole floats; wrap with int() if you need an Integer-tagged value	
startsWith	str.startsWith	2 arguments: (str, prefix)		
startWorkflow	startWorkflow	at least 1 argument: (name, input?, correlationId?)		
status	AnsiConsole.status	at least 1 string argument: (message, action?)	spinner around optional 0-arg callback: status(message, () => { ... }); spinner is a no-op when stdout is not a TTY	null
string	string	1 argument	build messages with "n is " + string(n); there is no {n} interpolation outside prompt bodies	
substring	str.substring	(string, int, int)		
sum	math.sum	1 argument: (array)		
table	AnsiConsole.table	at least 1 argument: (data, title?, columns?)	data must be an array of objects or an array of arrays; cell values and headers parse markup	
tan	math.tan	1 argument		
text	str.text	1 argument: (value)	null → empty string (unlike string(null) → "null"); use at env/JSON/CLI boundaries	string (never null)
toCsv	toCsv	1-3 arguments: (rows, columns?, options?)		
toIntOr	toIntOr	2 arguments: (value, fallback)	returns the fallback instead of throwing	
toIntOrNull	toIntOrNull	1 argument	returns null instead of throwing	
toJSON	toJSON	1 argument		
tokenize	str.tokenize	(string, options?)		
tokenOverlap	str.tokenOverlap	(string, string, options?)		
tree	AnsiConsole.tree	at least 1 string argument: (label, items?)	items is an array of strings or { label, children? }; children may be strings (nested objects are skipped)	null
trim	str.trim	1 argument		
trimText	str.trimText	1 argument: (value)	null-safe trim: str.trim(str.text(value))	string (never null)
trunc	math.trunc	1 argument		
typeOf	typeOf	1 argument		
uiAccordion	uiAccordion			
uiAlert	uiAlert			
uiBadge	uiBadge			
uiBreadcrumbs	uiBreadcrumbs			
uiButton	uiButton			
uiCheckbox	uiCheckbox			
uiChoose	uiChoose	key, casesObject, optional defaultNode		
uiColumn	uiColumn			
uiConfigure	uiConfigure	settingName and integer value		
uiCrudControls	uiCrudControls	schema object, optional sessionId, optional queryParams object, optional lookups object, optional options object		
uiCrudModel	uiCrudModel	schema object, optional sessionId, optional queryParams object, optional lookups object		
uiCrudSchema	uiCrudSchema	schema object and optional defaults object		
uiDataGrid	uiDataGrid			
uiDatePicker	uiDatePicker			
uiDispatchEvent	uiDispatchEvent	event object, optional sessionId, optional sequence		
uiDrawer	uiDrawer			
uiEach	uiEach	items array and optional propName (default: value)		
uiEmptyState	uiEmptyState			
uiErrorBoundary	uiErrorBoundary			
uiField	uiField			
uiForm	uiForm			
uiGenerate	uiGenerate	description and optional agent/cache arguments		
uiGetState	uiGetState	componentId, key, optional defaultValue, optional scope		
uiHeading	uiHeading			
uiIcon	uiIcon			
uiImage	uiImage			
uiInvalidate	uiInvalidate	channel and optional payload		
uiLayout	uiLayout	source string, slots object, optional model object		
uiList	uiList			
uiModal	uiModal			
uiMount	uiMount	rootNode and optional sessionId		
uiMountEnvelope	uiMountEnvelope	rootNode, optional sessionId, optional options		
uiOnDispose	uiOnDispose			
uiOnError	uiOnError			
uiOnInit	uiOnInit			
uiOnLoad	uiOnLoad			
uiOnMount	uiOnMount			
uiOnPreRender	uiOnPreRender			
uiOnUnmount	uiOnUnmount			
uiOnUpdate	uiOnUpdate			
uiPaginator	uiPaginator			
uiPanel	uiPanel			
uiPartial	uiPartial	source string and optional model object		
uiPinState	uiPinState	componentId and optional scope		
uiProgress	uiProgress			
uiPullEvent	uiPullEvent	optional sessionId		
uiRadioGroup	uiRadioGroup			
uiRedirectWithSession	uiRedirectWithSession	path, source, optional defaultSessionId		
uiRender	uiRender	rootNode and optional sessionId		
uiRenderList	uiRenderList	items array, source string, optional itemName		
uiResync	uiResync	optional sessionId		
uiRow	uiRow			
uiSelect	uiSelect			
uiSessionId	uiSessionId	source and optional defaultSessionId		
uiSetState	uiSetState	componentId, key, value, optional scope		
uiSkeleton	uiSkeleton			
uiSlider	uiSlider			
uiSlot	uiSlot			
uiSnapshot	uiSnapshot	optional sessionId		
uiSpacer	uiSpacer			
uiSpinner	uiSpinner			
uiStack	uiStack			
uiState	uiState	componentId, key, defaultValue, optional scope		
uiSwitch	uiSwitch			
uiTable	uiTable			
uiTabs	uiTabs			
uiTemplate	uiTemplate	source string, optional model object, optional options object		
uiText	uiText			
uiTextArea	uiTextArea			
uiTextField	uiTextField			
uiToast	uiToast			
uiTreeView	uiTreeView			
uiUnpinState	uiUnpinState	componentId and optional scope		
uiWhen	uiWhen	condition, thenNode, optional elseNode		
uiWithSlot	uiWithSlot	rootNode, slotName, slotContent		
upper	str.upper	1 argument		
urlDecode	urlDecode	1 argument		
urlEncode	urlEncode	1 argument		
validate	validate	2 arguments: (schema, value)		
verifyCsrfToken	verifyCsrfToken	(string, string)		
verifyJwt	verifyJwt	2 or 3 arguments: (token, secret, options?)		
verifyPassword	verifyPassword	2 arguments: (password, passwordHash)		
webSearch	webSearch	at least 1 string argument: (query, apiKey?)		
withExamples	withExamples	(prompt, examples, options?)		
writeFile	io.writeFile	2 arguments		
writeFileBase64	io.writeFileBase64	(path, base64Content)		
